"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=1, int=1>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=1, int=1>(float*, float*, float*, int)",2,"shared_st_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=2, int=1>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=2, int=1>(float*, float*, float*, int)",2,"shared_st_bank_conflict",8000000,8000000,8000000,16000000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=1, int=2>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=1, int=2>(float*, float*, float*, int)",2,"shared_st_bank_conflict",8000000,8000000,8000000,16000000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=2, int=2>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=2, int=2>(float*, float*, float*, int)",2,"shared_st_bank_conflict",8000000,8000000,8000000,16000000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=16, int=16>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",40140800,40140800,40140800,80281600
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=16, int=16>(float*, float*, float*, int)",2,"shared_st_bank_conflict",10035200,10035200,10035200,20070400
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=23, int=23>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=23, int=23>(float*, float*, float*, int)",2,"shared_st_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=2, int=3>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=2, int=3>(float*, float*, float*, int)",2,"shared_st_bank_conflict",2720000,2720000,2720000,5440000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=23, int=24>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",7680000,7680000,7680000,15360000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=23, int=24>(float*, float*, float*, int)",2,"shared_st_bank_conflict",480000,480000,480000,960000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=2, int=4>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=2, int=4>(float*, float*, float*, int)",2,"shared_st_bank_conflict",6000000,6000000,6000000,12000000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=3, int=3>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=3, int=3>(float*, float*, float*, int)",2,"shared_st_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=4, int=4>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=4, int=4>(float*, float*, float*, int)",2,"shared_st_bank_conflict",8000000,8000000,8000000,16000000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=5, int=6>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",26112000,26112000,26112000,52224000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=5, int=6>(float*, float*, float*, int)",2,"shared_st_bank_conflict",1632000,1632000,1632000,3264000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=6, int=6>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=6, int=6>(float*, float*, float*, int)",2,"shared_st_bank_conflict",2774400,2774400,2774400,5548800
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=8, int=8>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",34611200,34611200,34611200,69222400
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=8, int=8>(float*, float*, float*, int)",2,"shared_st_bank_conflict",8652800,8652800,8652800,17305600
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=24, int=23>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",7680000,7680000,7680000,15360000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=24, int=23>(float*, float*, float*, int)",2,"shared_st_bank_conflict",3360000,3360000,3360000,6720000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=24, int=24>(float*, float*, float*, int)",2,"shared_ld_bank_conflict",15360000,15360000,15360000,30720000
"NVIDIA GeForce GTX 1080 (0)","void MatrixMulCUDA<int=24, int=24>(float*, float*, float*, int)",2,"shared_st_bank_conflict",3840000,3840000,3840000,7680000
