"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,,,,
9.672495,1.578773,,,,,,,,,,9.765625,6.040604,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]",270
9.672523,0.036192,,,,,,,,,,9.765625,263.504177,"Device",,"NVIDIA GeForce GTX 1080 (0)","1","7","[CUDA memset]",272
9.674075,1.576181,,,,,,,,,,9.765625,6.050538,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","14","[CUDA memcpy HtoD]",271
9.675717,11.236083,100,100,1,16,16,1,30,2.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","14","void MatrixMulCUDA<int=1, int=1>(float*, float*, float*, int)",273
9.686967,11.243443,100,100,1,16,16,1,30,2.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","14","void MatrixMulCUDA<int=1, int=1>(float*, float*, float*, int)",276
9.698241,1.549748,,,,,,,,,,9.765625,6.153738,"Device","Pinned","NVIDIA GeForce GTX 1080 (0)","1","14","[CUDA memcpy DtoH]",280
9.720719,1.597589,,,,,,,,,,9.765625,5.969460,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","15","[CUDA memcpy HtoD]",295
9.720736,0.036448,,,,,,,,,,9.765625,261.653401,"Device",,"NVIDIA GeForce GTX 1080 (0)","1","7","[CUDA memset]",297
9.722318,1.576276,,,,,,,,,,9.765625,6.050173,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","15","[CUDA memcpy HtoD]",296
9.723900,6.595255,50,100,1,16,16,1,32,3.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","15","void MatrixMulCUDA<int=2, int=1>(float*, float*, float*, int)",298
9.730505,6.555573,50,100,1,16,16,1,32,3.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","15","void MatrixMulCUDA<int=2, int=1>(float*, float*, float*, int)",301
9.737078,1.569268,,,,,,,,,,9.765625,6.077192,"Device","Pinned","NVIDIA GeForce GTX 1080 (0)","1","15","[CUDA memcpy DtoH]",305
9.758111,1.597461,,,,,,,,,,9.765625,5.969938,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","16","[CUDA memcpy HtoD]",320
9.758128,0.035904,,,,,,,,,,9.765625,265.617847,"Device",,"NVIDIA GeForce GTX 1080 (0)","1","7","[CUDA memset]",322
9.759711,1.576117,,,,,,,,,,9.765625,6.050784,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","16","[CUDA memcpy HtoD]",321
9.761293,6.290867,100,50,1,16,16,1,32,3.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","16","void MatrixMulCUDA<int=1, int=2>(float*, float*, float*, int)",323
9.767592,6.315794,100,50,1,16,16,1,32,3.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","16","void MatrixMulCUDA<int=1, int=2>(float*, float*, float*, int)",326
9.773925,1.571413,,,,,,,,,,9.765625,6.068897,"Device","Pinned","NVIDIA GeForce GTX 1080 (0)","1","16","[CUDA memcpy DtoH]",330
9.794910,1.596949,,,,,,,,,,9.765625,5.971852,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","17","[CUDA memcpy HtoD]",345
9.794925,0.035904,,,,,,,,,,9.765625,265.617847,"Device",,"NVIDIA GeForce GTX 1080 (0)","1","7","[CUDA memset]",347
9.796508,1.576020,,,,,,,,,,9.765625,6.051156,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","17","[CUDA memcpy HtoD]",346
9.798091,3.976820,50,50,1,16,16,1,32,4.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","17","void MatrixMulCUDA<int=2, int=2>(float*, float*, float*, int)",348
9.802076,3.978004,50,50,1,16,16,1,32,4.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","17","void MatrixMulCUDA<int=2, int=2>(float*, float*, float*, int)",351
9.806071,1.571188,,,,,,,,,,9.765625,6.069766,"Device","Pinned","NVIDIA GeForce GTX 1080 (0)","1","17","[CUDA memcpy DtoH]",355
9.826958,1.597556,,,,,,,,,,9.765625,5.969583,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","18","[CUDA memcpy HtoD]",370
9.826974,0.035584,,,,,,,,,,9.765625,268.006496,"Device",,"NVIDIA GeForce GTX 1080 (0)","1","7","[CUDA memset]",372
9.828557,1.576213,,,,,,,,,,9.765625,6.050415,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","18","[CUDA memcpy HtoD]",371
9.830140,3.193834,50,34,1,16,16,1,40,5.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","18","void MatrixMulCUDA<int=2, int=3>(float*, float*, float*, int)",373
9.833343,3.193322,50,34,1,16,16,1,40,5.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","18","void MatrixMulCUDA<int=2, int=3>(float*, float*, float*, int)",376
9.836553,1.571221,,,,,,,,,,9.765625,6.069638,"Device","Pinned","NVIDIA GeForce GTX 1080 (0)","1","18","[CUDA memcpy DtoH]",380
9.857435,1.597109,,,,,,,,,,9.765625,5.971254,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","19","[CUDA memcpy HtoD]",395
9.857451,0.035904,,,,,,,,,,9.765625,265.617847,"Device",,"NVIDIA GeForce GTX 1080 (0)","1","7","[CUDA memset]",397
9.859034,1.598869,,,,,,,,,,9.765625,5.964681,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","19","[CUDA memcpy HtoD]",396
9.860638,2.741828,50,25,1,16,16,1,48,6.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","19","void MatrixMulCUDA<int=2, int=4>(float*, float*, float*, int)",398
9.863389,2.742788,50,25,1,16,16,1,48,6.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","19","void MatrixMulCUDA<int=2, int=4>(float*, float*, float*, int)",401
9.866148,1.570293,,,,,,,,,,9.765625,6.073225,"Device","Pinned","NVIDIA GeForce GTX 1080 (0)","1","19","[CUDA memcpy DtoH]",405
9.887106,1.597109,,,,,,,,,,9.765625,5.971254,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","20","[CUDA memcpy HtoD]",420
9.887121,0.035457,,,,,,,,,,9.765625,268.966443,"Device",,"NVIDIA GeForce GTX 1080 (0)","1","7","[CUDA memset]",422
9.888705,1.576149,,,,,,,,,,9.765625,6.050661,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","20","[CUDA memcpy HtoD]",421
9.890288,2.624226,34,34,1,16,16,1,48,6.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","20","void MatrixMulCUDA<int=3, int=3>(float*, float*, float*, int)",423
9.892921,2.621218,34,34,1,16,16,1,48,6.000000,0,,,,,"NVIDIA GeForce GTX 1080 (0)","1","20","void MatrixMulCUDA<int=3, int=3>(float*, float*, float*, int)",426
9.895558,1.571412,,,,,,,,,,9.765625,6.068901,"Device","Pinned","NVIDIA GeForce GTX 1080 (0)","1","20","[CUDA memcpy DtoH]",430
9.916444,1.596917,,,,,,,,,,9.765625,5.971972,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","21","[CUDA memcpy HtoD]",445
9.916460,0.035584,,,,,,,,,,9.765625,268.006496,"Device",,"NVIDIA GeForce GTX 1080 (0)","1","7","[CUDA memset]",447
9.918042,1.576116,,,,,,,,,,9.765625,6.050788,"Pinned","Device","NVIDIA GeForce GTX 1080 (0)","1","21","[CUDA memcpy HtoD]",446
